true_intent,predicted_as,count
fiat_currency_support,exchange_via_app,7
card_arrival,card_delivery_estimate,6
top_up_by_bank_transfer_charge,transfer_fee_charged,6
balance_not_updated_after_bank_transfer,pending_transfer,6
transfer_not_received_by_recipient,transfer_not_received,5
transfer_timing,balance_not_updated_after_bank_transfer,4
extra_charge_on_statement,card_payment_fee_charged,3
card_delivery_estimate,card_arrival,3
transfer_not_received_by_recipient,pending_transfer,3
top_up_reverted,top_up_failed,3
card_payment_not_recognised,compromised_card,3
compromised_card,card_not_working,3
declined_transfer,declined_card_payment,3
get_disposable_virtual_card,getting_virtual_card,3
balance_not_updated_after_bank_transfer,transfer_timing,3
top_up_by_bank_transfer_charge,top_up_by_card_charge,2
pending_top_up,topping_up_by_card,2
wrong_amount_of_cash_received,declined_cash_withdrawal,2
card_payment_fee_charged,card_payment_not_recognised,2
transfer_not_received_by_recipient,transfer_timing,2
